Catentry ID,Reco1,Reco2,Reco3,Reco4,Reco5,Reco6,Reco7,Reco8
50090044,50090030,4740770,3082445,3672708,3672704,3271145,3267589,3267591
50090046,50090030,4740770,3082445,3672708,3672704,3271145,3267589,3267591
50090048,50090030,4740770,3082445,3672708,3672704,3271145,3267589,3267591
50090052,50090030,4740770,3082445,3672708,3672704,3271145,3267589,3267591
50090058,50090094,4740770,3082445,3672708,3672704,3271145,3267589,3267591
50090066,1269177,3581792,50090068,50090636,3672708,3672704,3271145,3267589
50090068,1269177,50090066,3581792,50090636,3672708,3672704,3271145,3267589
50090070,1269177,50090066,3581792,50090636,3672708,3672704,3271145,3267589
50090072,1269177,50090066,3581792,50090636,3672708,3672704,3271145,3267589
50090074,1269177,50090066,3581792,50090636,3672708,3672704,3271145,3267589
50090076,1269177,50090066,3581792,50090636,3672708,3672704,3271145,3267589
50090078,1269177,50090066,3581792,50090636,3672708,3672704,3271145,3267589
50090080,1269177,50090066,3581792,50090636,3672708,3672704,3271145,3267589
50090082,1269177,50090066,3581792,50090636,3672708,3672704,3271145,3267589
50090084,999899751,3581804,4740770,3672708,3672704,3271145,3267589,3267591
50090088,50176715,50176719,50176721,50171639,1067181,3878496,3176999,50090322
50090092,50288047,4740770,3082445,3672708,3672704,3271145,3267589,3267591
50090094,50090058,4740770,3082445,3672708,3672704,3271145,3267589,3267591
50090096,50090058,4740770,3082445,3672708,3672704,3271145,3267589,3267591
50090098,50090058,4740770,3082445,3672708,3672704,3271145,3267589,3267591
50090100,50090058,4740770,3082445,3672708,3672704,3271145,3267589,3267591
50090102,3598498,50090210,50090254,50090306,50090316,50176715,50176719,50176721
50090104,50090212,50090256,50090330,3598496,50090304,50170589,50170591,50170587
50090106,3176995,1067193,3607124,3598466,1223835,1223847,1223869,1223905
50090108,50090226,50090276,50090322,50090324,50170823,50170819,50170817,50176721
50090110,3581814,50090224,50090274,3672708,3672704,3271145,3267589,3267591
50090114,50090200,50090286,50090340,50171053,50171049,50171057,50171045,3672708
50090116,50090202,50090288,50090336,50090342,50171051,50171047,50171055,50171043
50090136,50090376,3398952,3399194,3399270,3516688,1223985,1223991,1224009
50090158,1066097,1067199,3176997,1223831,1223843,1223853,1223901,3672708
50090162,50090022,3569446,3740607,50170965,50170973,50170961,3672708,3672704
50090164,3581762,3569448,3740609,50170971,50170963,50170959,50176721,50090322
50090166,3177027,1237851,1265937,1265969,3672708,3672704,3271145,3267589
50090168,50090022,50090162,3740607,50170965,50170973,50170961,3672708,3672704
50090170,50090022,50090162,3740607,50170965,50170973,50170961,3672708,3672704
50090172,1269177,50090066,3581792,50090636,3672708,3672704,3271145,3267589
50090174,1269177,50090066,3581792,50090636,3672708,3672704,3271145,3267589
50090176,1269177,50090066,3581792,50090636,3672708,3672704,3271145,3267589
50090178,1269177,50090066,3581792,50090636,3672708,3672704,3271145,3267589
50090180,1066097,1067199,3176997,1223831,1223843,1223853,1223901,3672708
50090182,1067181,1066099,3176999,1223829,1223841,1268261,1223899,50090322
50090184,1067183,1237859,3569420,1223833,1223845,1223855,1223903,3399204
50090194,50090022,50090162,3740607,50170965,50170973,50170961,3672708,3672704
50090196,3581762,50090164,3740609,50170971,50170963,50170959,50176721,50090322
50090200,50090114,3598576,50090286,50171053,50171049,50171057,50171045,3672708
50090202,50090116,3598578,50090288,50090336,50171051,50171047,50171055,50171043
50090204,3581816,50090206,50090290,3521306,3521298,3521312,3521290,3399204
50090206,3581816,50090204,50090290,3521306,3521298,3521312,3521290,3399204
50090208,3598496,3581808,50090216,3581852,50090304,50170589,50170591,50170587
50090210,3598498,50090102,50090218,50090254,50090306,50176715,50176719,50176721
50090212,50090104,50090220,50090256,3598498,50090306,3459464,3598590,4764622
50090216,3598496,3581808,50090208,3581852,50090304,50170589,50170591,50170587
50090218,3598498,50090102,50090210,50090254,50090306,50176715,50176719,50176721
50090220,50090104,50090212,50090256,3598498,50090306,3459464,3598590,4764622
50090224,3581814,50090228,50090274,3672708,3672704,3271145,3267589,3267591
50090226,50090108,50090230,50090276,50090322,50170823,50170819,50170817,50176721
50090228,3581814,50090224,50090274,3672708,3672704,3271145,3267589,3267591
50090230,50090108,50090226,50090276,50090322,50170823,50170819,50170817,50176721
50090232,50090114,50090200,50090286,50171053,50171049,50171057,50171045,3672708
50090234,3581816,50090204,50090290,3521306,3521298,3521312,3521290,3399204
50090236,50090114,50090200,50090286,50171053,50171049,50171057,50171045,3672708
50090238,50090116,50090202,50090288,50090336,50171051,50171047,50171055,50171043
50090240,3581816,50090204,50090290,3521306,3521298,3521312,3521290,3399204
